Warm forehead,Sore eyes,Loss of appetite,Chills and shivering,Temperature_above 99 F,Fever_prediction_yes or no
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,0,1,1,1
1,0,1,1,1,1
0,1,1,1,1,1
1,1,1,0,0,1
1,1,0,0,1,1
1,0,0,1,1,1
0,0,1,1,1,1
0,1,0,1,1,1
0,1,1,0,1,1
0,1,1,1,0,1
1,0,1,0,1,1
1,0,1,1,0,1
1,1,0,1,0,1
1,1,0,0,0,1
1,0,0,0,1,1
0,0,0,1,1,1
1,0,1,0,0,0
0,1,0,0,1,1
0,0,1,0,1,1
0,1,0,1,0,0
1,0,0,1,0,0
0,1,1,0,0,0
0,0,1,1,0,0
0,0,0,0,1,1
1,0,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
